title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,normalized_tmdb_score,top_genres,genres_count,production_countries_count,average_score,score_difference,genres_uniqueness,production_countries_uniqueness,title_uniqueness_norm,description_ari,description_word_count,description_character_count,title_ari,title_word_count,title_character_count,description_sentiment,title_sentiment,top_one_genre
Restless,MOVIE,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",2022,R,95,"['action', 'crime', 'thriller']","['BE', 'FR']",,5.8,4174,217.363,6.4,"['action', 'thriller']",3.0,2.0,6.1,-0.6000000000000005,0.817256892206314,0.9761154637926904,0.7460319363242787,14.6,29,152,16.8,1,8,-0.9303166479803622,-0.264376662671566,action
Glória,SHOW,A small town in Portugal becomes engulfed in a web of political intrigue when a young engineer is recruited as a KGB spy in this historical thriller.,2021,TV-MA,44,"['drama', 'history', 'thriller']",['PT'],1,7.9,4126,5.98,7.3,"['drama', 'history']",3.0,1.0,7.6,0.6000000000000005,0.8408565534675102,0.9993357647456844,0.7460319336069611,13.5,28,149,7.3,1,6,-0.2796851806342602,-0.03649790585041046,drama
Blood Red Sky,MOVIE,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,2021,,121,"['action', 'fantasy', 'horror', 'thriller']","['DE', 'GB']",,6.1,44006,57.545,7.3,"['action', 'thriller']",4.0,2.0,6.699999999999999,-1.2000000000000002,0.8397889988747677,0.9425652623826001,0.5541555492276459,13.8,23,134,-2.7,3,13,-0.8153447108343244,0.017459653317928314,action
The One,SHOW,"Love -- and lies -- spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",2021,TV-MA,42,"['action', 'crime', 'drama', 'scifi', 'thriller']",['GB'],1,6.6,12552,13.554,7.21,"['drama', 'scifi']",5.0,1.0,6.904999999999999,-0.6100000000000003,0.7505938163374652,0.9307862760908432,0.9999999972917336,13.6,28,142,-6.4,2,7,0.8693088935688138,0.23934181779623032,action
Fear Street: 1666,MOVIE,"In 1666, a colonial town is gripped by a hysterical witch-hunt that has deadly consequences for centuries to come, and it's up to teenagers in 1994 to finally put an end to their town's curse, before it's too late.",2021,R,114,"['horror', 'thriller']",['US'],,,,89.695,7.57,"['horror', 'thriller']",2.0,1.0,7.57,,0.889463318485985,0.5545224005796812,0.3701963077048123,19.3,46,214,3.6,4,17,-0.6565796006470919,-0.05113999545574188,horror
The Witcher: Nightmare of the Wolf,MOVIE,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",2021,,83,"['action', 'animation', 'drama', 'fantasy', 'scifi']","['KR', 'PL', 'US']",,7.2,42484,16.901,7.93,"['action', 'drama']",5.0,3.0,7.5649999999999995,-0.7299999999999995,0.7885410160747999,0.8783852901245889,0.245261001429062,13.4,32,151,4.3,7,34,-0.16147276014089584,-0.04366937652230263,action
Gangubai Kathiawadi,MOVIE,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",2022,,157,"['crime', 'drama']",['IN'],,7.0,50163,15.015,7.93,"['crime', 'drama']",2.0,1.0,7.465,-0.9299999999999997,0.797275206562767,0.9216856422869464,0.33425294967028424,14.1,30,152,22.0,2,19,-0.162456713616848,-0.04941873252391815,crime
Godse,MOVIE,"Vyshali, the assistant superintendent of police, is forcefully tasked to deal with unknown kidnapper Godse, who holds some high-profile personalities as hostages. Why did he kidnap them, what are his demands, and what does he want to achieve?",2022,,142,"['action', 'thriller']",['IN'],,8.2,199,10.447,7.3,"['action', 'thriller']",2.0,1.0,7.75,0.8999999999999995,0.8447733335056647,0.9216856422869464,0.8229586829275346,13.5,45,242,2.6,1,5,-0.47576418053358793,-0.0009159743785858154,action
Hard Cell,SHOW,A documentary crew follows the inmates and staff of HMP Woldsley while Catherine Tate portrays multiple characters to capture the penal system at its brutal humorous best.,2022,TV-MA,26,"['comedy', 'documentation', 'sport']","['GB', 'US']",1,6.2,1568,2.936,6.22,"['comedy', 'documentation']",3.0,2.0,6.21,-0.019999999999999574,0.8462857424090787,0.7422619687202474,0.8229586839254387,17.4,28,171,-1.7,2,9,0.0407443642616272,-0.04527011513710022,comedy
Malcolm & Marie,MOVIE,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",2021,R,106,"['drama', 'romance']",['US'],,6.6,36395,22.675,7.39,"['drama', 'romance']",2.0,1.0,6.994999999999999,-0.79,0.7809468902141508,0.5545224005796812,0.4533907472376126,16.9,25,153,10.2,3,15,-0.2676929533481598,-0.019301801919937134,drama
