title,release_year,age_certification,runtime,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,top_genres,average_score
Prison Break,2005,TV-14,50,['US'],5.0,8.3,511594.0,164.424,"['action', 'crime']",8.295
Keeping Up with the Kardashians,2007,TV-14,39,['US'],20.0,2.7,29445.0,104.997,"['drama', 'reality']",5.0
Weeds,2005,TV-MA,29,['US'],8.0,7.9,108600.0,43.961,"['crime', 'drama']",7.780000000000001
Hell's Kitchen,2005,TV-14,44,['US'],20.0,7.1,20513.0,20.335,['reality'],7.154999999999999
American Dad!,2005,TV-14,22,['US'],19.0,7.4,124891.0,141.097,"['animation', 'comedy']",7.305
Better Off Ted,2009,TV-PG,23,['US'],2.0,8.2,25978.0,12.494,"['comedy', 'scifi']",8.02
Shameless,2004,TV-14,48,['GB'],11.0,8.0,16594.0,29.326,"['comedy', 'drama']",7.92
The League,2009,TV-MA,23,['US'],7.0,8.3,47901.0,30.201,"['comedy', 'drama']",7.935
The O.C.,2003,TV-14,43,['US'],4.0,7.5,87665.0,35.848,"['drama', 'romance']",7.76
One Tree Hill,2003,TV-14,48,['US'],9.0,7.7,78565.0,41.9,"['drama', 'romance']",7.859999999999999
Boston Legal,2004,TV-PG,58,['US'],5.0,8.5,45633.0,32.18,"['comedy', 'drama']",8.305
Peep Show,2003,TV-MA,25,['GB'],9.0,8.7,58610.0,13.163,"['comedy', 'european']",8.45
Parenthood,2010,TV-14,47,['US'],6.0,8.2,34388.0,22.46,"['comedy', 'drama']",7.885
Veronica Mars,2004,TV-14,44,['US'],4.0,8.4,71886.0,25.131,"['comedy', 'drama']",8.21
Terminator: The Sarah Connor Chronicles,2008,TV-14,44,['US'],2.0,7.6,59834.0,29.662,"['action', 'scifi']",7.675
Lie to Me,2009,TV-14,46,['US'],3.0,8.0,118082.0,52.552,"['drama', 'thriller']",8.055
Kitchen Nightmares,2007,TV-14,44,['US'],7.0,7.5,12646.0,21.435,['reality'],7.625
Skins,2007,TV-MA,46,['GB'],7.0,8.2,81943.0,53.79,"['comedy', 'drama']",8.29
Ancient Aliens,2010,TV-PG,47,['US'],18.0,7.6,21.0,32.861,"['documentation', 'scifi']",7.359999999999999
The First 48,2004,TV-14,44,['US'],21.0,8.2,3597.0,43.862,"['documentation', 'drama']",8.29
Desperate Housewives,2004,TV-14,43,['US'],8.0,6.7,64.0,121.392,"['drama', 'thriller']",7.449999999999999
Bleach,2004,TV-14,24,['JP'],16.0,8.2,51742.0,211.796,"['action', 'scifi']",8.379999999999999
MasterChef,2010,TV-14,48,['US'],19.0,7.7,467.0,24.489,"['family', 'reality']",7.635
Cougar Town,2009,TV-14,23,['US'],6.0,7.0,43271.0,40.55,"['comedy', 'romance']",6.835
Misfits,2009,TV-MA,48,['GB'],5.0,8.2,99432.0,42.588,"['comedy', 'scifi']",8.065
Pawn Stars,2009,TV-PG,24,['US'],21.0,7.2,16556.0,34.606,"['documentation', 'reality']",7.34
The Unit,2006,TV-14,45,['US'],4.0,6.0,16.0,21.017,"['action', 'reality']",6.785
Dollhouse,2009,TV-14,45,['US'],2.0,7.7,48923.0,25.248,"['action', 'scifi']",7.635
Regular Show,2010,TV-PG,12,['US'],8.0,8.5,40562.0,282.607,"['action', 'comedy']",8.71
Samurai Champloo,2004,TV-MA,23,['JP'],1.0,8.6,46720.0,17.733,"['action', 'drama']",8.535
Raising Hope,2010,TV-14,22,['US'],4.0,8.0,37249.0,18.142,"['comedy', 'family']",7.92
The Real Housewives of Beverly Hills,2010,TV-14,44,['US'],12.0,5.2,6087.0,53.416,['reality'],6.16
The Mighty Boosh,2004,TV-14,29,['GB'],3.0,8.4,22142.0,19.353,"['comedy', 'scifi']",8.12
The Venture Bros.,2004,TV-MA,23,['US'],7.0,8.6,25513.0,15.573,"['action', 'animation']",8.309999999999999
Hoarders,2009,TV-14,51,['US'],13.0,6.5,3053.0,7.258,"['documentation', 'reality']",6.72
New Tricks,2004,TV-PG,59,['GB'],12.0,7.9,7023.0,20.155,"['comedy', 'drama']",7.825
Drake & Josh,2004,TV-G,25,['US'],4.0,7.7,38989.0,108.214,"['comedy', 'family']",8.13
Worst Cooks in America,2010,TV-G,44,['US'],24.0,6.2,1397.0,17.696,"['comedy', 'reality']",6.48
Everybody Hates Chris,2005,TV-PG,21,['US'],4.0,7.5,37140.0,29.495,"['comedy', 'drama']",7.85
Black Lagoon,2006,TV-MA,25,['JP'],3.0,7.9,14394.0,28.663,"['animation', 'drama']",8.05
Upstairs Downstairs,2010,TV-14,60,['GB'],2.0,7.4,6134.0,10.202,"['drama', 'european']",7.35
Rescue Me,2004,TV-MA,44,['US'],7.0,8.3,26292.0,15.485,"['comedy', 'drama']",8.16
CSI: Miami,2002,TV-14,47,['US'],10.0,6.4,56874.0,113.497,"['action', 'drama']",7.21
Ghost Whisperer,2005,TV-PG,48,['US'],5.0,6.4,45443.0,76.389,"['drama', 'scifi']",7.345
Nip/Tuck,2003,TV-MA,45,['US'],7.0,7.7,55417.0,26.001,['drama'],7.59
Sense and Sensibility,2008,TV-PG,58,['GB'],1.0,8.0,11787.0,16.965,"['drama', 'romance']",8.01
Damages,2007,TV-MA,48,['US'],5.0,8.1,29721.0,44.388,"['crime', 'drama']",7.969999999999999
The Bachelor,2002,TV-14,78,['US'],26.0,3.1,7007.0,18.521,"['drama', 'reality']",4.57
The Real Housewives of New Jersey,2009,TV-14,44,['US'],12.0,4.0,3563.0,26.103,['reality'],5.515000000000001
United States of Tara,2009,TV-MA,27,['US'],3.0,7.9,23575.0,28.155,"['comedy', 'drama']",7.689999999999999
Fairy Tail,2009,TV-14,24,['JP'],9.0,8.0,23932.0,30.543,"['animation', 'scifi']",8.055
Jane Eyre,2006,TV-PG,50,['GB'],1.0,8.3,20817.0,12.718,"['drama', 'romance']",8.16
Elfen Lied,2004,TV-MA,26,['JP'],2.0,8.0,32645.0,30.973,"['animation', 'horror']",8.325
American Pickers,2010,TV-PG,47,['US'],31.0,7.0,7683.0,12.38,"['documentation', 'reality']",7.24
