title,type,release_year,age_certification,runtime,genre,production_countries,seasons,imdb_votes,tmdb_popularity,average_score
Small Chops,MOVIE,2020,,98,drama,['NG'],,31,1.2,3.0
Army of Thieves,MOVIE,2021,R,127,comedy,"['DE', 'US']",,73790,157.021,6.805000000000001
Like A Rolling Stone: The Life & Times of Ben Fong-Torres,MOVIE,2021,,102,documentation,['US'],,233,1.706,8.65
Louis C.K.: Hilarious,MOVIE,2010,,84,comedy,['US'],,12089,5.717,8.254999999999999
Trese After Dark,MOVIE,2021,PG-13,36,documentation,['PH'],,,2.792,7.75
Bordertown: The Mural Murders,MOVIE,2021,,107,crime,['FI'],,2219,69.693,6.615
My Wonderful Life,MOVIE,2021,,99,romance,['PL'],,626,4.228,5.425
In for a Murder,MOVIE,2021,,105,comedy,['PL'],,1484,62.599,5.715
Upcoming Summer,MOVIE,2021,,115,drama,['CN'],,486,3.257,6.640000000000001
Sinbad: Son of a Preacher Man,MOVIE,1996,,56,comedy,['US'],,116,1.536,6.51
Ong Bak 3,MOVIE,2010,R,95,action,['TH'],,13800,23.601,5.65
Mr. Deeds,MOVIE,2002,PG-13,96,romance,['US'],,143007,21.324,6.01
Aileen Wuornos: American Boogeywoman,MOVIE,2021,R,85,thriller,['US'],,1538,6.83,4.78
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,MOVIE,2002,PG-13,100,fantasy,['JP'],,2148,30.957,7.57
Blippi's Snowflake Scavenger Hunt,MOVIE,2020,,52,,[],,,,
Road to Perdition,MOVIE,2002,R,117,thriller,['US'],,265216,18.739,7.68
Happiness Ever After,MOVIE,2021,,99,drama,['ZA'],,163,11.536,5.885
The Land,MOVIE,2021,,103,comedy,['PL'],,473,1.627,6.07
Lethal Love,MOVIE,2021,,87,thriller,[],,233,,4.4
Prophetess,MOVIE,2021,,144,drama,[],,6,1.4,7.5
Ted Bundy: American Boogeyman,MOVIE,2021,,110,drama,['US'],,991,16.784,5.005000000000001
Lokillo,MOVIE,2021,,90,comedy,['CO'],,68,26.005,5.234999999999999
Kedibone,MOVIE,2020,,94,drama,['ZA'],,174,2.368,7.25
India Sweets and Spices,MOVIE,2021,PG-13,101,drama,['US'],,484,2.662,6.15
Everything Must Go,MOVIE,2011,R,97,romance,['US'],,50792,9.825,6.445
The Father Who Moves Mountains,MOVIE,2021,PG-13,108,thriller,"['RO', 'SE']",,3472,19.955,5.95
The Wonderful: Stories from the Space Station,MOVIE,2021,,129,documentation,['US'],,,1.983,7.3
Snakehead,MOVIE,2021,,89,crime,['US'],,702,5.536,5.975
Lee Su-geun: The Sense Coach,MOVIE,2021,,45,comedy,['KR'],,38,1.058,4.125
Pig,MOVIE,2021,R,91,thriller,"['GB', 'US']",,63927,18.397,6.965
Intrusion,MOVIE,2021,,92,thriller,['US'],,16272,113.423,5.800000000000001
A Man for The Weekend,MOVIE,2017,,94,romance,['CM'],,13,1.036,3.65
Black Crab,MOVIE,2022,,114,scifi,['SE'],,19159,207.948,6.135
Private Network: Who Killed Manuel Buendía?,MOVIE,2021,,100,history,['MX'],,224,2.804,7.1850000000000005
Fatherhood,MOVIE,2021,PG-13,109,drama,"['CA', 'US']",,34661,88.619,7.22
Deep,MOVIE,2021,,101,scifi,['TH'],,1441,70.521,5.78
Zero to Hero,MOVIE,2021,,103,drama,['HK'],,842,4.779,7.18
The Seven Deadly Sins: Cursed by Light,MOVIE,2021,PG-13,79,animation,['JP'],,970,470.787,7.255
BLACKPINK: The Movie,MOVIE,2021,PG,99,documentation,['KR'],,1009,28.237,7.46
Last Summer,MOVIE,2021,,101,drama,['TR'],,2878,33.733,6.305
"LSD: Love, Sex aur Dhokha",MOVIE,2010,PG-13,108,drama,['IN'],,5684,3.126,6.845000000000001
Super Monsters: Once Upon a Rhyme,MOVIE,2021,,25,animation,[],,38,53.762,6.135
Diana: The Musical,MOVIE,2021,PG-13,117,history,['US'],,1266,5.117,5.345000000000001
Pharma Bro,MOVIE,2021,,85,documentation,"['CA', 'US']",,524,3.811,5.43
Venus as a Boy,MOVIE,2021,R,104,romance,['US'],,147,3.938,3.9
The Sea Beast,MOVIE,2022,PG,115,comedy,['US'],,18852,1723.363,7.4853000000000005
Tughlaq Durbar,MOVIE,2021,,145,drama,['IN'],,1605,2.386,6.305000000000001
Deranged,MOVIE,2017,,99,thriller,[],,14,0.936,3.2
Bartkowiak,MOVIE,2021,,91,action,['PL'],,1205,62.624,5.84
Emicida AmarElo Live in Sao Paulo,MOVIE,2021,,99,documentation,['BR'],,44,1.88,8.71
D.O.D.: Day of Destiny,MOVIE,2021,,110,scifi,['NG'],,42,2.664,5.0
Finding Hubby,MOVIE,2020,,104,comedy,['NG'],,,1.597,3.7
Bankrolled,MOVIE,2021,,97,comedy,['MX'],,312,20.242,5.155
Crime Story,MOVIE,2021,R,98,thriller,['US'],,595,4.733,4.33
Black Island,MOVIE,2021,,105,thriller,['DE'],,2788,62.875,5.800000000000001
Blasted,MOVIE,2022,,114,action,['NO'],,1528,41.268,5.285
